date,Strategy,CVX_BuyHold,HYG_BuyHold,Equal_Weight
2022-06-27,111652.42829833791,147286.78017123183,90557.70020963218,118922.240190432
2022-06-28,110150.146047433,149652.27156985214,89562.02694127936,119607.14925556575
2022-06-29,109962.17766275298,146697.93695829104,89428.46711247593,118063.2020353835
2022-06-30,109343.72373298949,144502.15958951024,89379.84876666103,116941.00417808563
2022-07-01,109806.40170409955,146228.812316239,90232.41694257024,118230.61462940462
2022-07-05,110358.08332991862,142386.1887456814,90147.06637685429,116266.62756126784
2022-07-06,110228.56402461795,140509.81314592474,89805.54479819494,115157.67897205983
2022-07-07,110919.44690259876,143244.56123714693,91269.15188968948,117256.8565634182
2022-07-08,110994.91101703282,142496.0171396941,91342.3549710824,116919.18605538824
2022-07-11,110636.4717829192,141238.43635425242,90830.05271712747,116034.24453568994
2022-07-12,111345.14425782097,138653.39356913645,91195.9772168193,114924.68539297787
2022-07-13,111322.80260654583,137725.20134766397,91098.41666803029,114411.80900784713
2022-07-14,111448.22635993756,135679.1380684502,90927.66440125743,113303.40123485381
2022-07-15,112101.36439140998,137385.81720528897,92086.36281819818,114736.09001174357
2022-07-18,110827.93000541544,139312.16191361393,91195.9772168193,115254.06956521662
2022-07-19,110913.14745617211,144332.48947697476,92403.49283923412,118367.99115810444
2022-07-20,110842.85961930784,146238.79911118402,92806.00183450876,119522.40047284639
2022-07-21,111983.37209759802,145120.97197074688,93903.70715312967,119512.33956193828
2022-07-22,112018.61535818466,143913.2724592654,93781.7380016036,118847.5052304345
2022-07-25,111678.66826809842,148195.0075862751,93757.34076227566,120976.1741742754
2022-07-26,110780.37991528018,147037.29475028356,93098.70052598948,120067.99763813653
2022-07-27,112016.1838895375,148973.55598586705,94123.2538985584,121548.40494221271
2022-07-28,113046.10651168409,150101.36992124925,95086.79712769382,122594.08352447153
2022-07-29,112955.24204593063,163465.68661982036,95367.29719951056,129416.49190966546
2022-08-01,112990.06070060557,160201.94581764095,95396.69433884049,127799.32007824072
2022-08-02,112467.98949630975,158834.62447279473,94955.91338173236,126895.26892726355
2022-08-03,113454.17035238587,155061.82941570485,95788.53877467905,125425.18409519194
2022-08-04,113758.69562516325,150849.94915254533,96045.64726887281,123447.79821070906
2022-08-05,113178.59557292348,153345.13713353864,95555.87297344963,124450.50505349413
2022-08-08,113280.13091535398,153115.6077355588,95641.59853166573,124378.60313361225
2022-08-09,112438.9649780235,155111.73704004748,94931.40819001802,125021.57261503275
2022-08-10,114121.29685268443,155520.94091242942,96351.78887331345,125936.36489287144
2022-08-11,113468.61195132915,159313.6392917228,95800.73171263847,127557.18550218063
2022-08-12,114483.8442438629,159543.22139046752,96657.8850241177,128100.5532072926
2022-08-15,114280.84085443034,156509.06268703283,96486.49072473096,126497.7767058819
2022-08-16,113744.21364896293,156109.83682613508,96033.4202406861,126071.62853341059
2022-08-17,112569.49792056886,157397.35164602933,95041.61621313028,126219.48392957982
2022-08-18,112743.5575462293,160156.9393644323,95188.57350125725,127672.75643284478
2022-08-19,111597.8259588644,158817.46159036504,94221.2405751885,126519.35108277676
2022-08-22,110336.09724149725,158021.8205760299,93155.97210783057,125588.89634193023
2022-08-23,110611.65183233112,163148.18207833194,93388.62086394636,128268.40147113915
